Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc
group_3674,,IS3 family transposase IS3411,4,4,1,983,10624,1,3898,,326,326,326
group_36778,,hypothetical protein,4,4,1,983,14004,1,8486,,476,476,476
group_3678,yhbX_2,Putative transferase YhbX,4,4,1,983,5501,1,21152,,1412,1673,1607
group_37205,,hypothetical protein,4,4,1,983,8258,1,21601,,137,137,137
group_3753,,Single-stranded DNA-binding protein,4,4,1,983,28310,1,24607,,422,425,423
group_37641,,hypothetical protein,4,4,1,983,26549,1,27946,,281,281,281
group_3765,rpnD,ISNCY family transposase ISRor2,4,4,1,983,6570,1,5774,,224,956,590
group_3766,rpnD,Recombination-promoting nuclease RpnD,4,4,1,983,6564,1,5779,,458,458,458
group_3805,,hypothetical protein,4,4,1,983,30904,1,16510,,110,269,164
group_3813,,hypothetical protein,4,4,1,983,29014,1,27632,,173,1034,710
group_3843,,hypothetical protein,4,4,1,983,9701,1,23983,,296,350,323
group_3900,,hypothetical protein,4,4,1,983,17409,1,21883,,281,284,281
group_3931,,IS4 family transposase ISVsa5,4,4,1,983,11551,1,16666,,866,1208,1062
group_3932,,IS4 family transposase ISVsa5,4,4,1,983,11550,1,16665,,920,1208,1136
group_399,cbeA_2,Cytoskeleton bundling-enhancing antitoxin CbeA,4,4,1,983,10109,1,6723,,212,368,314
group_39999,phnE,Phosphate-import permease protein PhnE,4,4,1,983,2859,17,9,,779,779,779
group_4040,,hypothetical protein,4,4,1,983,31751,1,10778,,707,2675,1861
group_40441,ldrD,Small toxic polypeptide LdrD,4,4,1,983,30515,1,24232,,107,107,107
group_40673,,hypothetical protein,4,4,1,983,21992,1,28405,,206,206,206
group_40677,,hypothetical protein,4,4,1,983,22003,1,28428,,206,206,206
group_4073,,hypothetical protein,4,4,1,983,5330,1,2959,,197,413,354
group_41,,hypothetical protein,4,4,1,1875,1,2860,1,Investigate,1040,1760,1416
group_4104,,hypothetical protein,4,4,1,2120,1,2394,1,Investigate,455,455,455
group_4116,,hypothetical protein,4,4,1,2077,1,2592,1,Investigate,491,491,491
group_4142,,IS3 family transposase ISEc48,4,4,1,983,6281,1,6742,,182,296,210
group_4176,,hypothetical protein,4,4,1,983,33540,1,12283,,116,530,302
group_4184,,hypothetical protein,4,4,1,983,4401,1,9049,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,302,1187,600
group_4192,,hypothetical protein,4,4,1,983,30132,1,13966,,170,482,341
group_4206,,hypothetical protein,4,4,1,983,6530,1,5756,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,1088,1235,1161
group_4257,,hypothetical protein,4,4,1,983,33468,1,11905,,545,554,551
group_4290,,hypothetical protein,4,4,1,983,32836,1,12094,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,287,287,287
group_4297,,hypothetical protein,4,4,1,983,32835,1,12095,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,287,287,287
group_4315,,hypothetical protein,4,4,1,1702,1,2364,1,Investigate,332,428,404
group_4316,topB_3,DNA topoisomerase 3,4,4,1,983,31688,1,15126,,674,2153,1563
group_4324,,hypothetical protein,4,4,1,983,30892,1,21712,,332,332,332
group_4330,,IS21 family transposase IS21,4,4,1,983,1495,1,9389,,284,797,668
group_4334,,IS21 family transposase IS21,4,4,1,983,1215,1,18877,,275,797,416
group_4336,,IS21 family transposase IS21,4,4,1,983,1194,1,9723,,425,797,704
traQ_1,,Protein TraQ,4,4,1,983,33470,1,11909,,281,284,282
group_4376,crfC_1,Clamp-binding protein CrfC,4,4,1,983,2855,1949,1,,632,2228,1080
group_439,cdiA,tRNA nuclease CdiA,4,4,1,983,31310,1,9496,,5627,8282,6290
group_4412,,IS1380 family transposase ISEcp1,4,4,1,983,31030,1,19602,,983,1265,1193
group_4427,,hypothetical protein,4,4,1,2443,1,3242,1,Investigate,431,569,534
group_4454,,hypothetical protein,4,4,1,2271,1,3212,1,Investigate,209,569,410
group_4466,,hypothetical protein,4,4,1,983,20854,1,21952,,296,296,296
group_447,cdiA_2,hypothetical protein,4,4,1,983,11406,1,17288,,386,5807,1789
group_4497,,hypothetical protein,4,4,1,983,9978,1,6814,,137,758,292
group_4572,,hypothetical protein,4,4,1,983,22755,1,24110,,1928,1928,1928
group_4620,,hypothetical protein,4,4,1,983,13426,1,23355,,410,410,410
group_4628,,hypothetical protein,4,4,1,983,13314,1,22428,,1325,1328,1327
group_4648,,hypothetical protein,4,4,1,983,7392,1,19278,,425,425,425
group_471,cbtA_2,Cytoskeleton-binding toxin CbtA,4,4,1,983,5436,1,2610,,377,377,377
repA_2,,Replication initiation protein,4,4,1,983,30856,1,11313,,593,1076,928
group_4735,mbeC,Mobilization protein MbeC,4,4,1,2504,1,3617,1,Investigate,245,356,319
group_4759,,hypothetical protein,4,4,1,1600,1,1994,1,Investigate,566,677,649
group_476,cbtA_4,Cytoskeleton-binding toxin CbtA,4,4,1,983,6950,1,7786,,377,377,377
cbtA_5,,Cytoskeleton-binding toxin CbtA,4,4,1,983,7232,1,3679,,374,377,376
group_4868,,hypothetical protein,4,4,1,983,32568,1,10094,,170,1361,571
group_4888,,hypothetical protein,4,4,1,983,28675,1,27276,,296,671,508
group_4906,,hypothetical protein,4,4,1,983,7540,1,15643,,302,368,351
group_4911,,hypothetical protein,4,4,1,983,18092,1,13669,,233,233,233
group_4984,,IS3 family transposase ISKpn38,4,4,1,983,1305,1,18487,,548,548,548
group_501,rhsD_4,Protein RhsD,4,4,1,983,30149,1,13985,,1430,1430,1430
group_5035,,hypothetical protein,4,4,1,983,12955,1,26841,,173,1946,1252
group_509,rhsD_5,Protein RhsD,4,4,1,983,30126,1,13934,,3191,3191,3191
group_5102,,hypothetical protein,4,4,1,983,28843,1,27307,,134,854,630
group_5104,,hypothetical protein,4,4,1,488,1,1165,1,Investigate,566,566,566
group_5121,traR,hypothetical protein,4,4,1,983,29060,1,27487,,224,224,224
group_515,rhsD_4,Protein RhsD,4,4,1,983,30127,1,13933,,3191,3191,3191
group_5151,,hypothetical protein,4,4,1,983,20783,1,853,,218,680,564
group_518,rhsD_3,Protein RhsD,4,4,1,983,30239,1,13866,,1022,3173,2194
group_5197,dam_3,hypothetical protein,4,4,1,983,17950,1,13062,,689,2291,1889
group_5203,,hypothetical protein,4,4,1,983,24217,1,26986,,239,422,376
group_523,rhsD_5,hypothetical protein,4,4,1,1597,1,1991,1,Investigate,530,563,539
group_5322,,hypothetical protein,4,4,1,983,33045,1,11948,,317,638,556
gpFI_2,,Putative prophage major tail sheath protein,4,4,1,983,15668,1,27148,,275,1190,787
group_5336,gpFI,Putative prophage major tail sheath protein,4,4,1,983,15712,1,27139,,275,1190,659
group_5358,,hypothetical protein,4,4,1,983,8099,1,4297,,527,1046,656
yedS_1,,Outer membrane protein YedS,4,4,1,983,8479,1,4763,,626,674,662
group_5462,,hypothetical protein,4,4,1,983,10736,1,7883,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,116,869,464
group_5492,,hypothetical protein,4,4,1,1876,1,2861,1,Investigate,434,890,640
group_5546,,hypothetical protein,4,4,1,1542,2,2118,2,Investigate,131,131,131
group_5554,,hypothetical protein,4,4,1,983,32600,1,12211,,503,779,572
group_5555,,hypothetical protein,4,4,1,983,32926,1,10220,,575,596,590
gsiA_2,,Glutathione import ATP-binding protein GsiA,4,4,1,983,27631,30,5,,377,1871,959
group_5586,potE_1,Putrescine transporter PotE,4,4,1,983,30618,1,8516,,170,1319,736
group_5594,,hypothetical protein,4,4,1,983,33936,1,10297,,137,476,331
group_5600,torZ_1,Trimethylamine-N-oxide reductase 2,4,5,1.25,983,8922,24,4,,737,1694,1311
group_5626,proQ_2,RNA chaperone ProQ,4,4,1,983,13931,1,5612,,206,479,376
group_5645,,IS6 family transposase IS26,4,4,1,983,32959,1,10293,,131,704,433
group_5665,,hypothetical protein,4,4,1,983,25051,1,16222,,317,317,317
group_57,,hypothetical protein,4,4,1,983,20496,1,18187,,761,761,761
group_574,tfaE,Prophage tail fiber assembly protein TfaE,4,4,1,983,21642,1,1466,,575,575,575
group_5770,parM,Plasmid segregation protein ParM,4,4,1,983,23800,1,25805,,335,959,767
group_5824,,hypothetical protein,4,4,1,983,12844,1,13168,,356,356,356
group_5825,,hypothetical protein,4,4,1,983,29773,1,26754,,356,359,356
group_5835,tibA,putative autotransporter,4,4,1,983,16876,2039,1,,665,2108,1501
group_5850,,hypothetical protein,4,4,1,983,13304,1,23348,,215,1496,964
group_5861,,hypothetical protein,4,4,1,983,32676,1,9344,,221,221,221
group_5862,,hypothetical protein,4,4,1,983,34237,1,9709,,221,221,221
group_5890,,hypothetical protein,4,4,1,983,1313,1,18472,,425,671,549
group_5920,,hypothetical protein,4,4,1,983,20191,1,3510,,236,833,641
group_5955,,hypothetical protein,4,4,1,983,28436,1,28085,,95,191,143
tfaE_5,,Prophage tail fiber assembly protein TfaE,4,4,1,983,21638,1,1548,,575,581,578
group_6014,,hypothetical protein,4,4,1,983,21400,1,22286,,434,434,434
group_604,tfaE_5,Prophage tail fiber assembly protein TfaE,4,4,1,983,16594,1,27263,,593,602,597
group_6045,,hypothetical protein,4,4,1,983,21336,1,22250,,173,578,274
group_6066,,IS110 family transposase IS4321R,4,4,1,983,1756,1,18096,,1004,1004,1004
group_6078,,IS110 family transposase IS5075,4,4,1,759,1,746,1,Investigate,1004,1004,1004
group_6129,,IS3 family transposase ISSen4,4,4,1,983,32548,1,14136,,485,830,662
group_6148,,hypothetical protein,4,4,1,983,5381,1,2805,,494,755,689
group_6167,,hypothetical protein,4,4,1,983,10775,1,15424,,143,1556,974
group_6202,,hypothetical protein,4,4,1,2129,1,3016,1,Investigate,497,497,497
acnA_1,,Aconitate hydratase A,4,4,1,983,24442,2403,1,,695,2675,1194
acnA_2,,Aconitate hydratase A,4,4,1,983,24444,2852,1,,686,719,701
group_6265,yhcR,Endonuclease YhcR,4,4,1,983,33206,1,11824,,461,524,487
group_6395,,hypothetical protein,4,4,1,983,24143,1,25968,,335,743,537
group_6407,,hypothetical protein,4,4,1,983,10148,1,7286,,167,167,167
group_643,,hypothetical protein,4,4,1,983,21704,1,25870,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,1271,1877,1509
group_6452,,hypothetical protein,4,4,1,983,35256,1,15009,,251,446,397
group_6468,rusA_2,Crossover junction endodeoxyribonuclease RusA,4,4,1,983,12555,1,23435,,185,380,327
group_6472,,hypothetical protein,4,4,1,2422,1,3465,1,Investigate,224,224,224
group_6480,papB,hypothetical protein,4,5,1.25,983,7713,1,9873,,299,542,471
group_6501,,putative autotransporter,4,4,1,983,12065,1,21739,,884,2030,1185
folP_3,,Dihydropteroate synthase,4,4,1,983,750,1,16772,,839,839,839
group_6605,,hypothetical protein,4,4,1,983,8417,1,4724,,335,467,368
group_6629,,hypothetical protein,4,4,1,983,21331,1,25144,,353,353,353
group_6652,,hypothetical protein,4,4,1,983,21759,1,22245,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,269,353,332
group_6655,,hypothetical protein,4,4,1,983,3327,1,6718,,311,359,323
group_6693,,hypothetical protein,4,4,1,983,22605,1,28500,,332,3233,1409
group_6730,,hypothetical protein,4,4,1,1810,1,2461,1,Investigate,365,1751,847
group_6758,,hypothetical protein,4,4,1,983,29979,1,29225,,467,2513,2001
group_6817,addA,ATP-dependent helicase/nuclease subunit A,4,4,1,983,2614,1,17522,,1517,1517,1517
group_6829,ydeP,Protein YdeP,4,4,1,2738,1,3227,1,Investigate,2168,2279,2251
group_6868,esiB,Secretory immunoglobulin A-binding protein EsiB,4,4,1,983,30660,40,3,,449,977,643
group_6910,,hypothetical protein,4,4,1,983,28778,1,27664,,167,473,384
group_6973,,hypothetical protein,4,4,1,983,6838,1,7162,,617,917,791
group_6980,,hypothetical protein,4,4,1,983,6829,1,7167,,158,917,727
group_6996,,hypothetical protein,4,4,1,2525,1,3477,1,Investigate,101,101,101
group_7047,,ISNCY family transposase ISBcen27,4,4,1,983,1029,1,18291,,866,1400,1133
group_7069,,hypothetical protein,4,4,1,983,32636,1,4833,,173,347,303
group_7097,,hypothetical protein,4,5,1.25,983,21779,1,24525,,230,332,311
hha_4,,Hemolysin expression-modulating protein Hha,4,4,1,983,6886,1,19246,,212,212,212
group_7112,,hypothetical protein,4,4,1,983,18488,1,559,,659,734,696
group_7232,,hypothetical protein,4,4,1,983,22486,1,24132,,281,281,281
group_7249,,hypothetical protein,4,4,1,983,23795,1,25615,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,365,365,365
group_7280,,hypothetical protein,4,4,1,983,7388,1,15625,,566,566,566
group_7282,,hypothetical protein,4,4,1,983,2696,1,8182,,263,566,345
group_7295,,hypothetical protein,4,4,1,983,1282,1,18457,,359,359,359
group_7322,,hypothetical protein,4,4,1,983,22668,1,1443,,674,743,725
group_7338,,hypothetical protein,4,4,1,417,1,373,1,Investigate,680,680,680
group_7340,,hypothetical protein,4,4,1,983,13773,1,8737,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,338,470,404
group_7353,,hypothetical protein,4,4,1,983,12022,1,1646,,1328,2075,1883
group_7364,,hypothetical protein,4,4,1,983,21695,1,23719,,233,1694,963
group_7394,dmsB_2,Anaerobic dimethyl sulfoxide reductase chain B,4,4,1,983,26715,1,19124,,98,617,357
group_7518,exuT_2,Hexuronate transporter,4,4,1,983,4116,1,16149,,665,1298,1001
group_7566,ldrA_3,Small toxic polypeptide LdrA,4,4,1,2114,1,2967,1,Investigate,107,107,107
group_760,ompX_3,Outer membrane protein X,4,4,1,983,21685,1,1369,,599,599,599
group_7624,ydcS,Bifunctional polyhydroxybutyrate synthase / ABC transporter periplasmic binding protein,4,4,1,983,27151,1,12569,,1145,1145,1145
group_7683,,hypothetical protein,4,4,1,983,25528,1,9077,,653,2360,1933
group_7694,psiB_2,Protein PsiB,4,4,1,983,31174,1,16355,,434,434,434
group_7733,,hypothetical protein,4,4,1,983,34571,1,11756,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,419,419,419
group_7787,hin_3,DNA-invertase hin,4,4,1,2422,2,3465,2,Investigate,593,593,593
group_7788,hin,DNA-invertase hin,4,4,1,481,2,1158,1,Investigate,593,593,593
group_7803,,hypothetical protein,4,4,1,983,17608,1,12740,,254,530,461
group_781,,hypothetical protein,4,4,1,983,28669,1,27273,,389,1283,838
group_7838,,hypothetical protein,4,5,1.25,983,21940,1,28396,,491,491,491
group_7839,,hypothetical protein,4,4,1,983,21934,1,28399,,491,491,491
group_7844,,hypothetical protein,4,4,1,983,21322,1,24582,,491,491,491
group_7846,,hypothetical protein,4,4,1,983,21937,1,28406,,491,491,491
group_787,,hypothetical protein,4,4,1,983,9328,1,25461,,371,1613,1302
group_7870,,hypothetical protein,4,4,1,983,20845,1,530,,125,164,148
group_7915,intS_5,hypothetical protein,4,4,1,983,30806,1,24824,,1217,1229,1226
group_7934,,hypothetical protein,4,4,1,983,33104,1,11030,,206,206,206
group_7943,,hypothetical protein,4,4,1,983,29631,1,13011,,629,941,792
group_7983,,hypothetical protein,4,4,1,1061,1,1628,1,Investigate,740,1229,917
group_8041,,hypothetical protein,4,4,1,983,26395,1,24947,,527,527,527
group_8152,yjjQ,Putative transcription factor YjjQ,4,4,1,983,6485,2948,1,,311,614,473
lgoR_1,,putative HTH-type transcriptional regulator LgoR,4,4,1,983,6370,1,6083,,470,665,616
group_820,,hypothetical protein,4,4,1,2407,1,3484,1,Investigate,233,458,395
adhP_2,,"Alcohol dehydrogenase, propanol-preferring",4,4,1,983,30181,3092,1,,263,920,463
rfaL_1,,O-antigen ligase,4,4,1,983,5120,21,1,,575,1253,961
group_8293,rfaL,O-antigen ligase,4,4,1,983,5188,21,2,,902,1253,1165
gntP_2,,High-affinity gluconate transporter,4,4,1,983,1090,1,18341,,416,437,431
group_8300,,hypothetical protein,4,4,1,983,16454,3226,1,,143,893,457
group_8339,,hypothetical protein,4,4,1,983,684,1,16807,,1361,1667,1437
group_8350,,hypothetical protein,4,5,1.25,983,30125,1,13873,,176,392,239
group_8447,yjhP,putative protein YjhP,4,4,1,983,6701,1,2498,,161,746,599
group_8482,rrrD_3,Lysozyme RrrD,4,4,1,983,12968,1,427,,533,533,533
group_8493,,hypothetical protein,4,4,1,2270,1,3211,1,Investigate,1322,1724,1623
group_8543,,hypothetical protein,4,4,1,2379,1,2957,1,Investigate,470,518,494
group_8583,,hypothetical protein,4,4,1,983,12206,1,21539,,455,455,455
group_8597,,hypothetical protein,4,4,1,983,24211,1,26489,,290,290,290
group_8697,uraA,Uracil permease,4,4,1,983,18714,3154,1,,308,1208,793
group_8742,,hypothetical protein,4,4,1,983,32026,3690,1,,320,779,549
group_876,,hypothetical protein,4,4,1,983,27788,1,22469,,410,782,574
group_8761,ytfE,Iron-sulfur cluster repair protein YtfE,4,4,1,983,5840,2139,5,,245,662,557
group_880,,hypothetical protein,4,7,1.75,1467,1,2007,1,Investigate,182,671,489
group_8825,cheA,Chemotaxis protein CheA,4,4,1,983,9286,1,12714,,710,1964,1361
group_8883,,hypothetical protein,4,4,1,983,5003,2130,1,,173,866,436
group_8981,mdtA,hypothetical protein,4,4,1,983,16421,1,27515,,143,1088,615
group_8986,,hypothetical protein,4,4,1,983,20869,1,21948,,206,206,206
group_9003,,hypothetical protein,4,4,1,983,33941,1,12031,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,251,251,251
group_9008,,hypothetical protein,4,4,1,983,33905,1,12028,,251,251,251
group_9035,ntdC,hypothetical protein,4,4,1,983,1710,1,18260,,404,407,404
group_9053,,hypothetical protein,4,4,1,983,27934,1,22827,,287,485,435
group_9072,,Tn3 family transposase ISYps3,4,4,1,983,27101,1,1328,,590,590,590
ysdC_2,,Putative aminopeptidase YsdC,4,4,1,983,6698,1,2525,,278,788,614
group_9103,,hypothetical protein,4,4,1,983,29211,1,24881,,443,1238,840
group_9112,,hypothetical protein,4,4,1,983,7243,1,3689,,170,599,491
group_9139,,hypothetical protein,4,4,1,983,489,1,19405,,278,1310,686
group_9147,flmC_1,Protein FlmC,4,4,1,983,2687,1,8187,,212,212,212
group_9153,,hypothetical protein,4,4,1,983,29679,1,13189,,263,263,263
group_9154,,hypothetical protein,4,4,1,983,31654,1,20388,,263,263,263
group_9202,,hypothetical protein,4,4,1,983,25411,1,26884,,299,389,366
group_924,,hypothetical protein,4,4,1,983,28880,1,27361,,167,425,296
gcl_1,,Glyoxylate carboligase,4,4,1,983,10841,1,7934,,965,1481,1223
group_9339,,hypothetical protein,4,4,1,983,3452,67,20,,302,1007,830
group_9367,,hypothetical protein,4,4,1,983,17266,1,17487,,425,425,425
group_9372,,hypothetical protein,4,4,1,983,28570,1,15363,,533,692,596
group_9378,,hypothetical protein,4,4,1,983,354,1,8389,,968,1340,1061
decR_1,,DNA-binding transcriptional activator DecR,4,4,1,983,20694,95,2,,116,458,218
opgE_3,,Phosphoethanolamine transferase OpgE,4,4,1,983,6075,1,4383,,227,431,380
group_956,,hypothetical protein,4,4,1,983,6983,1,3733,,122,218,188
group_9563,nirC,Nitrite transporter NirC,4,4,1,983,31958,2987,1,,203,806,565
group_957,,hypothetical protein,4,4,1,983,10743,1,3610,,197,242,219
gmd_3,,"GDP-mannose 4,6-dehydratase",4,4,1,983,16103,1,5237,,593,1124,989
group_9667,intS,Prophage integrase IntS,4,4,1,983,17217,1,18066,,470,1190,863
group_9694,tar,Methyl-accepting chemotaxis protein II,4,4,1,983,8917,1,7491,,461,1661,1241
group_9747,,hypothetical protein,4,4,1,983,16555,3729,1,,566,566,566
group_986,,hypothetical protein,4,4,1,983,18094,1,13662,,377,431,390
group_9860,,hypothetical protein,4,4,1,983,10004,1,6840,,206,206,206
group_9863,,hypothetical protein,4,4,1,1914,1,2838,1,Investigate,206,206,206
group_9890,bla,Beta-lactamase TEM,4,4,1,983,34812,1,16935,,860,860,860
group_9919,,hypothetical protein,4,4,1,983,22777,1,22035,,170,170,170
group_9931,,hypothetical protein,4,4,1,983,24476,1,27884,,425,425,425
group_9985,,hypothetical protein,4,4,1,983,21348,1,22240,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,155,395,335
group_9986,,hypothetical protein,4,4,1,983,21349,1,22239,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,155,395,335
group_9988,,hypothetical protein,4,4,1,983,21397,1,22274,,395,395,395
group_9995,,hypothetical protein,4,4,1,983,21337,1,22279,,395,395,395
group_1000,,hypothetical protein,3,3,1,983,28679,1,27183,,293,425,381
group_10000,,hypothetical protein,3,3,1,983,21386,1,24513,,155,395,235
group_10004,,hypothetical protein,3,3,1,983,21364,1,24544,,155,395,315
group_10037,recD_2,RecBCD enzyme subunit RecD,3,3,1,701,1,1297,1,Investigate,2681,2681,2681
group_1005,,hypothetical protein,3,3,1,983,28874,1,27388,,425,425,425
group_10054,,hypothetical protein,3,3,1,983,15156,1,29728,,422,452,432
group_1014,,hypothetical protein,3,3,1,983,21399,1,22285,,2561,2561,2561
group_10150,,hypothetical protein,3,3,1,983,5287,1,2857,,362,1991,1084
group_10159,,hypothetical protein,3,3,1,983,188,1,15043,,218,404,342
group_10195,,hypothetical protein,3,3,1,983,9412,1,25565,,392,392,392
group_1020,,hypothetical protein,3,3,1,983,22559,1,28469,,503,2579,1887
group_10233,murJ_3,lipid II flippase MurJ,3,3,1,983,16194,1,4627,,881,1007,965
group_10251,,hypothetical protein,3,3,1,983,22695,1,1433,,188,431,350
group_10266,,hypothetical protein,3,3,1,983,1426,1,18632,,1499,1499,1499
group_10285,,hypothetical protein,3,3,1,983,267,1,14638,,1202,1202,1202
group_10289,,hypothetical protein,3,3,1,1121,1,1770,1,Investigate,395,1769,853
group_10306,,hypothetical protein,3,3,1,983,8818,1,6536,,179,536,298
group_10353,gadW_2,HTH-type transcriptional regulator GadW,3,3,1,2656,1,3673,1,Investigate,743,743,743
group_10415,,hypothetical protein,3,3,1,1877,1,2862,1,Investigate,422,422,422
group_10420,ilvA_2,L-threonine dehydratase biosynthetic IlvA,3,3,1,880,2,1547,2,Investigate,398,1547,890
group_10433,,hypothetical protein,3,3,1,983,34384,1,16978,,215,215,215
group_10435,,hypothetical protein,3,3,1,983,34381,1,16987,,215,215,215
group_10439,,hypothetical protein,3,3,1,983,22482,1,28442,,275,275,275
group_10442,,hypothetical protein,3,3,1,983,21515,1,23685,,275,275,275
group_1045,,hypothetical protein,3,3,1,1718,1,2432,1,Investigate,260,260,260
group_10463,,hypothetical protein,3,3,1,983,3979,1,17845,,248,248,248
group_10466,,ISKra4 family transposase ISEc51,3,3,1,983,8429,1,13082,,485,803,645
group_10467,,ISKra4 family transposase ISEc51,3,3,1,983,31573,1,18517,,398,398,398
group_10483,,hypothetical protein,3,3,1,983,34676,1,11586,,584,584,584
group_10499,pfkB_1,ATP-dependent 6-phosphofructokinase isozyme 2,3,3,1,983,26768,1690,1,,248,929,551
group_10526,,hypothetical protein,3,3,1,983,3196,968,1,,491,1625,1089
group_1055,,hypothetical protein,3,3,1,2152,1,2753,1,Investigate,674,2561,1321
group_10555,ltnD,L-threonate dehydrogenase,3,3,1,983,3268,3583,1,,173,908,663
selO_2,,Protein adenylyltransferase SelO,3,3,1,983,26908,3541,1,,317,1436,818
group_10587,ydeO,HTH-type transcriptional regulator YdeO,3,3,1,1683,1,2342,1,Investigate,668,761,730
group_10591,yfeW,Putative D-alanyl-D-alanine carboxypeptidase,3,3,1,983,19334,3316,1,,221,1304,943
group_10597,narQ,Nitrate/nitrite sensor protein NarQ,3,3,1,983,18699,3255,3,,707,1700,1369
group_10660,tnaA,Tryptophanase,3,3,1,983,4719,131,2,,491,1415,1107
group_10681,pgrR_3,HTH-type transcriptional regulator DmlR,3,3,1,983,4194,2748,1,,329,929,729
group_10706,sdhA,Succinate dehydrogenase flavoprotein subunit,3,3,1,983,27432,2529,1,,428,1766,1320
group_10736,,hypothetical protein,3,3,1,983,32020,2477,1,,281,431,381
group_10738,,hypothetical protein,3,3,1,983,32034,92,4,,647,1724,1074
group_10784,,hypothetical protein,3,3,1,983,25626,1,12716,,155,647,348
group_1086,,hypothetical protein,3,3,1,983,21103,1,12973,,350,884,595
group_10923,gfcB_2,putative lipoprotein GfcB,3,3,1,400,1,356,1,Investigate,638,638,638
group_10937,,hypothetical protein,3,3,1,983,15704,1,27135,,275,275,275
group_10952,,hypothetical protein,3,3,1,983,28750,1,27284,,347,347,347
group_10969,phnL,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL,3,3,1,983,3105,2523,2,,680,680,680
group_10998,hokE_2,hypothetical protein,3,3,1,983,30740,1,18873,,152,251,218
arsC_2,,Arsenate reductase,3,3,1,983,31804,1,19361,,425,425,425
group_11030,astC,Succinylornithine transaminase,3,3,1,983,26779,191,3,,626,1220,1022
group_1106,,hypothetical protein,3,3,1,2314,1,2991,1,Investigate,554,599,569
group_1108,,hypothetical protein,3,3,1,983,21663,1,1391,,599,599,599
group_1110,,hypothetical protein,3,5,1.67,983,21676,1,1380,,554,599,590
group_11116,,hypothetical protein,3,3,1,983,1994,1,17092,,95,95,95
group_1112,,hypothetical protein,3,3,1,983,21662,1,1366,,392,743,578
group_11172,fecB,Fe(3+) dicitrate-binding periplasmic protein,3,3,1,983,8331,1,4027,,617,902,807
group_11180,,hypothetical protein,3,3,1,983,13885,1,21567,,233,233,233
group_11185,,hypothetical protein,3,3,1,983,13887,1,5655,,233,233,233
group_1120,,hypothetical protein,3,3,1,983,21672,1,25937,,599,743,668
group_11201,,hypothetical protein,3,3,1,983,6806,1,7126,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,395,443,411
group_11213,,hypothetical protein,3,3,1,983,7214,1,3847,,233,233,233
group_1132,,hypothetical protein,3,3,1,983,34249,1,9332,,590,776,712
group_11323,eno_2,Enolase,3,3,1,983,9547,1,8085,,380,1241,667
group_1135,,hypothetical protein,3,3,1,983,32649,1,9669,,770,821,787
group_11382,rhaR_7,hypothetical protein,3,3,1,983,12334,1,8371,,1103,1970,1392
group_11406,,hypothetical protein,3,3,1,983,17649,1,12771,,350,350,350
group_11409,,hypothetical protein,3,3,1,983,17658,1,12783,,278,350,326
group_11431,,Glycine betaine transporter,3,3,1,983,8886,1,18913,,1997,1997,1997
group_11450,,hypothetical protein,3,3,1,983,7963,1,13425,,365,365,365
group_11470,,hypothetical protein,3,3,1,983,15004,1,29039,,1196,1196,1196
group_1148,,hypothetical protein,3,3,1,983,2292,1,9331,,770,770,770
group_11520,,hypothetical protein,3,3,1,983,10569,1,16032,,464,479,469
group_11536,,hypothetical protein,3,3,1,529,1,1044,1,Investigate,551,836,741
group_1154,,hypothetical protein,3,3,1,649,1,1227,1,Investigate,323,323,323
group_1156,,hypothetical protein,3,3,1,1915,1,2839,1,Investigate,287,689,421
group_116,flu_2,Antigen 43,3,3,1,983,6798,1,7134,,470,2846,1295
group_11606,,hypothetical protein,3,3,1,1473,1,2013,1,Investigate,608,869,782
group_1162,tnpR,Transposon Tn3 resolvase,3,3,1,983,33240,1,16940,,557,557,557
